gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
857360999,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Festuca,Festuca elegans,,SPECIES,Festuca elegans Boiss.,Festuca elegans Boiss.,Boiss.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,4124641,4124641,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-011763-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.080Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360998,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa canina,,SPECIES,Rosa canina L.,Rosa canina L.,L.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,3002461,3002461,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-079250-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.384Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360997,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus monogyna,brevispina,SUBSPECIES,Crataegus monogyna subsp. brevispina (Kunze) Franco,Crataegus monogyna subsp. brevispina (Kunze) Franco,(Kunze) Franco,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190139,-3.251436,1,,1544,0,,,,,,,8148659,9220780,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-390-077220-20041021,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:19.696Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360996,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa,Scabiosa turolensis,,SPECIES,Scabiosa turolensis Pau,Scabiosa turolensis Pau,Pau,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,8061410,8061410,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-010429-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.187Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360995,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer granatense,granatense,SUBSPECIES,Acer opalus subsp. granatense (Boiss.) Font Quer & Rothm.,Acer opalus subsp. granatense (Boiss.) Font Quer & Rothm.,(Boiss.) Font Quer & Rothm.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,8013467,7263115,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-008792-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:19.913Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360994,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,Genista versicolor,,SPECIES,"Genista versicolor Boiss. ex Steud., 1840",Genista versicolor Boiss. ex Steud.,Boiss. ex Steud.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,7357319,7357319,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-008211-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.772Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360993,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Poterium,Poterium sanguisorba,,SPECIES,Sanguisorba minor Scop.,Sanguisorba minor Scop.,Scop.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,3029430,5364245,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-007957-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:19.933Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360992,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Adenocarpus,Adenocarpus decorticans,,SPECIES,Adenocarpus decorticans Boiss.,Adenocarpus decorticans Boiss.,Boiss.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,2951626,2951626,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-008319-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.191Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360991,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera arborea,,SPECIES,Lonicera arborea Boiss.,Lonicera arborea Boiss.,Boiss.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,5598747,5598747,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-010351-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:19.936Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360990,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla reuteri,,SPECIES,Potentilla reuteri Boiss.,Potentilla reuteri Boiss.,Boiss.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,5368537,5368537,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-007684-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.617Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
