taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
8098461,Rosa micrantha Boreau,8098461,Rosa micrantha Boreau,30,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rosa,8395064.0,Rosa micrantha,8098461.0,Not Evaluated
7325877,Fraxinus angustifolia Vahl,7325877,Fraxinus angustifolia Vahl,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Oleaceae,6652,Fraxinus,3172323.0,Fraxinus angustifolia,7325877.0,Least Concern
7769809,Alyssum serpyllifolium L. ex B.D.Jacks.,7769809,Alyssum serpyllifolium L. ex B.D.Jacks.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Alyssum,3044728.0,Alyssum serpyllifolium,7769809.0,Not Evaluated
5355395,Spartium junceum L.,5355395,Spartium junceum L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Spartium,8109416.0,Spartium junceum,5355395.0,Not Evaluated
8428417,Berberis hispanica Boiss. & Reut.,8428417,Berberis hispanica Boiss. & Reut.,218,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Berberidaceae,6673,Berberis,3033893.0,Berberis hispanica,8428417.0,Not Evaluated
3614373,Paeonia broteri Boiss. & Reut.,3614373,Paeonia broteri Boiss. & Reut.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Saxifragales,7219248,Paeoniaceae,6711,Paeonia,3083483.0,Paeonia broteri,3614373.0,Not Evaluated
8013467,Acer opalus subsp. granatense (Boiss.) Font Quer & Rothm.,7263116,Acer granatense subsp. granatense,21,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Sapindaceae,6657,Acer,3189834.0,Acer granatense,7263115.0,
5612066,Cytisus galianoi Talavera & P.E.Gibbs,5354626,Cytisus balansae (Boiss.) Ball,58,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Cytisus,8089532.0,Cytisus balansae,5354626.0,Not Evaluated
7813762,Koeleria vallesiana Asch. & Graebn.,7813762,Koeleria vallesiana Asch. & Graebn.,254,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Koeleria,2705912.0,Koeleria vallesiana,7813762.0,Not Evaluated
3890861,Lavandula stoechas subsp. caesia Borja & Rivas Goday,7307711,Lavandula stoechas subsp. stoechas,18,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Lavandula,2927302.0,Lavandula stoechas,2927303.0,
3112552,Staehelina dubia L.,3112552,Staehelina dubia L.,11,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Staehelina,3112542.0,Staehelina dubia,3112552.0,Not Evaluated
2927069,Marrubium vulgare L.,2927069,Marrubium vulgare L.,7,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Marrubium,2927068.0,Marrubium vulgare,2927069.0,Not Evaluated
2977261,Ononis aragonensis Asso,2977261,Ononis aragonensis Asso,14,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Ononis,2977094.0,Ononis aragonensis,2977261.0,Not Evaluated
2927177,Mentha longifolia (L.) Huds.,2927177,Mentha longifolia (L.) Huds.,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Mentha,2927173.0,Mentha longifolia,2927177.0,Least Concern
3140490,Lactuca serriola L.,3140490,Lactuca serriola L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Lactuca,3140231.0,Lactuca serriola,3140490.0,Not Evaluated
2926634,Rosmarinus officinalis L.,3889108,Salvia rosmarinus Schleid.,51,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Salvia,2926981.0,Salvia rosmarinus,3889108.0,Not Evaluated
5285604,Pinus halepensis Mill.,5285604,Pinus halepensis Mill.,55,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Pinus,2684241.0,Pinus halepensis,5285604.0,Least Concern
3020780,Prunus ramburii Boiss.,3020780,Prunus ramburii Boiss.,141,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Prunus,3020559.0,Prunus ramburii,3020780.0,Vulnerable
3120019,Achillea odorata Pall.,7222194,Achillea nobilis subsp. nobilis,2,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Achillea,3119995.0,Achillea nobilis,3120024.0,Not Evaluated
5668064,Armeria villosa subsp. bernisii Nieto Fel.,5668064,Armeria villosa subsp. bernisii Nieto Fel.,15,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Plumbaginaceae,2419,Armeria,3082288.0,Armeria villosa,7136612.0,
