taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3125944	Santolina rosmarinifolia L.	3125944	Santolina rosmarinifolia L.	52	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Santolina	3125925	Santolina rosmarinifolia	3125944	NE
8164710	Marrubium supinum Hu. ex C.Pei	8164710	Marrubium supinum Hu. ex C.Pei	40	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Marrubium	2927068	Marrubium supinum	8164710	NE
7311536	Daphne oleoides Schreb.	7311536	Daphne oleoides Schreb.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Thymelaeaceae	2428	Daphne	3188453	Daphne oleoides	7311536	NE
3013206	Sorbus domestica L.	3013215	Cormus domestica (L.) Spach	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Cormus	3025305	Cormus domestica	3013215	LC
5372952	Salix caprea L.	5372952	Salix caprea L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Salix	3039576	Salix caprea	5372952	LC
8004571	Clinopodium vulgare subsp. arundanum (Boiss.) Nyman	8004571	Clinopodium vulgare subsp. arundanum (Boiss.) Nyman	9	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Clinopodium	2926907	Clinopodium vulgare	2926945	
5015	Rosaceae	5015	Rosaceae	1	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015					NE
2965093	Retama sphaerocarpa (L.) Boiss.	2965093	Retama sphaerocarpa (L.) Boiss.	56	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Retama	8216180	Retama sphaerocarpa	2965093	NE
2977276	Ononis speciosa Lag.	2977276	Ononis speciosa Lag.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Ononis	2977094	Ononis speciosa	2977276	NE
3008098	Rosa pouzinii Tratt.	3008098	Rosa pouzinii Tratt.	23	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rosa	8395064	Rosa pouzinii	3008098	NE
5559052	Digitalis obscura L.	5559052	Digitalis obscura L.	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Digitalis	3172032	Digitalis obscura	5559052	NE
7331304	Fumana ericoides Pau	7331304	Fumana ericoides Pau	12	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Fumana	7331269	Fumana ericoides	7331304	NE
5333294	Castanea sativa Mill.	5333294	Castanea sativa Mill.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Castanea	2882140	Castanea sativa	5333294	LC
7628495	Sedum annuum All., 1785	7628495	Sedum annuum All., 1785	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Crassulaceae	2406	Sedum	7801254	Sedum annuum	7628495	NE
2928390	Convolvulus arvensis L.	2928390	Convolvulus arvensis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Convolvulaceae	2389	Convolvulus	2928386	Convolvulus arvensis	2928390	NE
9298571	Helianthemum apenninum subsp. stoechadifolium (Brot.) Samp.	9298571	Helianthemum apenninum subsp. stoechadifolium (Brot.) Samp.	6	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Helianthemum	2874068	Helianthemum apenninum	9823314	
7333092	Verbascum giganteum Willk.	7333092	Verbascum giganteum Willk.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390	Verbascum	2928970	Verbascum giganteum	7333092	NE
7366349	Centaurea bombycina Boiss., 1838	7366349	Centaurea bombycina Boiss., 1838	5	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Centaurea	3127469	Centaurea bombycina	7366349	NE
8351737	Hedera helix L.	8351737	Hedera helix L.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Hedera	3036021	Hedera helix	8351737	NE
3832369	Ruta montana Mill.	8019513	Ruta montana (L.) L.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Rutaceae	2396	Ruta	3190380	Ruta montana	8019513	NE
4122446	Festuca indigesta Boiss.	4122446	Festuca indigesta Boiss.	182	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Festuca	2704913	Festuca indigesta	4122446	NE
7331316	Helianthemum almeriense Pau	7331316	Helianthemum almeriense Pau	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Helianthemum	2874068	Helianthemum almeriense	7331316	NE
7307046	Phlomis purpurea L.	7307046	Phlomis purpurea L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Phlomis	2927450	Phlomis purpurea	7307046	NE
7331346	Cistus clusii Dunal	7331346	Cistus clusii Dunal	56	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Cistus	2874026	Cistus clusii	7331346	NE
5598747	Lonicera arborea Boiss.	5598747	Lonicera arborea Boiss.	21	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Caprifoliaceae	6710	Lonicera	2888645	Lonicera arborea	5598747	NE
7963890	Juniperus sabina L.	7963890	Juniperus sabina L.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Pinopsida	194	Pinales	640	Cupressaceae	8144	Juniperus	2684359	Juniperus sabina	7963890	LC
7265227	Osyris L.	7265227	Osyris L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Santalales	934	Santalaceae	6661	Osyris	7265227			NE
2874030	Cistus monspeliensis L.	2874030	Cistus monspeliensis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Cistus	2874026	Cistus monspeliensis	2874030	LC
7331291	Helianthemum apenninum subsp. apenninum	7331291	Helianthemum apenninum subsp. apenninum	3	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Helianthemum	2874068	Helianthemum apenninum	9823314	
3898342	Teucrium bicoloreum Pau ex Vicioso	3898342	Teucrium bicoloreum Pau ex Vicioso	11	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Teucrium	2926895	Teucrium bicoloreum	3898342	NE
7357319	Genista versicolor Boiss. ex Steud., 1840	7357319	Genista versicolor Boiss. ex Steud., 1840	166	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Genista	8294717	Genista versicolor	7357319	NE
8334140	Sedum sediforme (Schweinf.) Raym.-Hamet	5689819	Sedum crassularia Raym.-Hamet	68	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Crassulaceae	2406	Sedum	5361975	Sedum crassularia	5689819	NE
2913027	Galium L.	2913027	Galium L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Galium	2913027			NE
5275012	Pteridium aquilinum (L.) Kuhn	5275012	Pteridium aquilinum (L.) Kuhn	9	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Dennstaedtiaceae	6623	Pteridium	5275011	Pteridium aquilinum	5275012	NE
7267618	Silene mellifera Boiss. & Reut.	7267618	Silene mellifera Boiss. & Reut.	22	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Silene	3085897	Silene mellifera	7267618	NE
7296321	Viola riviniana Rchb.	7296321	Viola riviniana Rchb.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Violaceae	6631	Viola	2874237	Viola riviniana	7296321	NE
